"","Year","Rank","DJ","Change"
"287",2010,21,"Fedde Le Grand","Up 8"
"288",2011,21,"Infected Mushroom","Down 8"
"289",2012,21,"ATB","Down 6"
"290",2013,21,"Markus Schulz","Down 8"
"291",2014,21,"Nervo","Down 5"
"292",2015,21,"R3hab","Up 2"
"293",2016,21,"R3hab","No change"
"294",2017,21,"Axwell ","\ Ingrosso"
"295",2004,22,"Erick Morillo","Down 6"
"296",2005,24,"DJ Dan","Re-entry"
"297",2006,22,"John Acquaviva","New Entry"
"298",2007,22,"Fedde Le Grand","New Entry"
"299",2008,22,"Kyau & Albert","Up 35"
"300",2009,22,"Aly & Fila","Up 9"
"301",2010,22,"Carl Cox","Down 4"
"302",2011,22,"Aly & Fila","Down 2"
"303",2012,22,"Ferry Corsten","Down 4"
"304",2013,22,"Daft Punk","Up 22"
"305",2014,22,"Zedd","Up 2"
"306",2015,22,"Zedd","No change"
"307",2016,22,"DJ Snake","Up 10"
"308",2017,22,"DVBBS","Up 2"
"309",2004,23,"Chris Liebing","Up 65"
"310",2005,25,"Danny Howells","Down 5"
"311",2006,23,"Flash Brothers","Up 43"
"312",2007,23,"Gabriel & Dresden","Down 3"
"313",2008,23,"Gareth Emery","Up 8"
"314",2009,23,"Paul Oakenfold","Down 9"
"315",2010,23,"Swedish House Mafia","New Entry"
"316",2011,23,"Steve Angello","Down 9"
"317",2012,23,"Axwell","Down 11"
"318",2013,23,"Headhunterz","Down 12"
"319",2014,23,"R3hab","Up 35"
"320",2015,23,"KSHMR","New Entry"
"321",2016,23,"Diplo","Down 3"
"322",2017,23,"DJ Snake","Down 1"
"323",2004,24,"DJ Dan","Re-entry"
"324",2005,26,"Infected Mushroom","New Entry"
"325",2006,24,"NA","New Entry"
"326",2007,24,"Erick Morillo","Up 1"
"327",2008,24,"Sven Väth","Up 3"
"328",2009,24,"John O'Callaghan","Up 36"
"329",2010,24,"Cosmic Gate","Down 4"
"330",2011,24,"Hardwell","New Entry"
"331",2012,24,"Dada Life","Up 14"
"332",2013,24,"Zedd","Up 27"
"333",2014,24,"Andrew Rayel","Up 4"
"334",2015,24,"Nervo","Down 3"
"335",2016,24,"DVBBS","Down 8"
"336",2017,24,"Kygo","Up 2"
"337",2004,25,"Eddie Halliwell","Down 5"
"338",2005,27,"Roger Sanchez","Down 10"
"339",2006,25,"Erick Morillo","Down 7"
"340",2007,25,"Roger Sanchez","Up 17"
"341",2008,25,"ATB","Up 1"
"342",2009,25,"Sebastian Ingrosso","New Entry"
"343",2010,25,"Bobina","Down 9"
"344",2011,25,"Arty","Up 53"
"345",2012,25,"W & W","Up 11"
"346",2013,25,"Knife Party","Up 8"
"347",2014,25,"Above & Beyond","Down 8"
"348",2015,25,"Deadmau5","Down 9"
"349",2016,25,"Alok","Up 19"
"350",2017,25,"Diplo","Down 2"
"351",2004,26,"Andy C","Up 45"
"352",2005,28,"Mauro Picotto","Down 1"
"353",2006,26,"Benny Benassi","Down 4"
"354",2007,26,"ATB","Down 13"
"355",2008,26,"Anderson Noise","Up 28"
"356",2009,26,"Benny Benassi","Up 13"
"357",2010,26,"Benny Benassi","No change"
"358",2011,26,"Sebastian Ingrosso","Down 10"
"359",2012,26,"Fedde Le Grand","Down 12"
"360",2013,26,"Swedish House Mafia","Down 14"
"361",2014,26,"Steve Angello","Up 12"
"362",2015,26,"Dannic","Up 4"
"363",2016,26,"Kygo","Up 7"
"364",2017,26,"Lost Frequencies","New Entry"
"365",2004,27,"Mauro Picotto","Down 10"
"366",2005,29,"Gabriel & Dresden","Up 12"
"367",2006,27,"Sander Kleinenberg","Down 7"
"368",2007,27,"Sven Väth","Up 17"
"369",2008,27,"Joachim Garraud","New Entry 28"
"370",2009,27,"Laidback Luke","Up 19"
"371",2010,27,"Sasha","Down 14"
"372",2011,27,"Benny Benassi","Down 1"
"373",2012,27,"Noisecontrollers","Up 8"
"374",2013,27,"Showtek","Re-entry"
"375",2014,27,"Dyro","Up 3"
"376",2015,27,"Dyro","No change"
"377",2016,27,"Swanky Tunes","Up 70"
"378",2017,27,"Above & Beyond","Up 20"
"379",2004,28,"Johan Gielen","Down 4"
"380",2005,30,"Steve Lawler","Down 9"
"381",2006,28,"DJ Yahel","Up 17"
"382",2007,28,"Yahel","No change"
"383",2008,28,"Bobina","New Entry 28"
"384",2009,28,"Richie Hawtin","Down 13"
"385",2010,28,"Simon Patterson","Up 14"
"386",2011,28,"Daft Punk","Up 16"
"387",2012,28,"Arty","Down 3"
"388",2013,28,"Andrew Rayel","Up 49"
"389",2014,28,"Aly & Fila","Down 8"
"390",2015,28,"Deorro","Down 9"
"391",2016,28,"Marshmello","New Entry"
"392",2017,28,"Avicii","Down 17"
"393",2004,29,"Lady Dana","Up 26"
"394",2005,31,"Blank & Jones","Up 7"
"395",2006,29,"Offer Nissim","New Entry"
"396",2007,29,"Umek","Up 53"
"397",2008,29,"Fedde Le Grand","Down 7"
"398",2009,29,"Fedde Le Grand","No change"
"399",2010,29,"John Digweed","Down 12"
"400",2011,29,"Martin Solveig","Up 26"
"401",2012,29,"Laidback Luke","Down 9"
"402",2013,29,"Fedde Le Grand","Down 3"
"403",2014,29,"Axwell","Down 10"
"404",2015,29,"Above & Beyond","Down 4"
"405",2016,29,"Nicky Romero","Down 11"
"406",2017,29,"Zedd","Up 6"
"407",2004,30,"Lisa Lashes","Down 4"
"408",2005,32,"Yoji Biomehanika","Up 1"
"409",2006,30,"Andy Moor","Up 16"
"410",2007,30,"Andy Moor","No change"
"411",2008,30,"Dubfire","New Entry 7"
"412",2009,30,"DJ Feel","Up 25"
"413",2010,30,"Eric Prydz","Up 4"
"414",2011,30,"Kaskade","Up 5"
"415",2012,30,"Kaskade","No change"
"416",2013,30,"Dyro","New Entry"
"417",2014,30,"Dannic","Up 44"
"418",2015,30,"Don Diablo ","Up 52"
"419",2016,30,"Steve Angello","Up 1"
"420",2017,30,"Quintino","Up 2"
"421",2004,31,"Adam Freeland","Up 5"
"422",2005,33,"Chris Liebing","Down 10"
"423",2006,31,"David Guetta","Up 8"
"424",2007,31,"Gareth Emery","Up 3"
"425",2008,31,"Aly & Fila","New Entry 7"
"426",2009,31,"Lange","Up 6"
"427",2010,31,"Richie Hawtin","Down 3"
"428",2011,31,"Carl Cox","Down 9"
"429",2012,31,"Calvin Harris","Up 3"
"430",2013,31,"Laidback Luke","Down 2"
"431",2014,31,"Ummet Ozcan","Up 68"
"432",2015,31,"Steve Angello","Down 5"
"433",2016,31,"Deadmau5","Down 6"
"434",2017,31,"Vintage Culture","Up 23"
"435",2004,32,"Markus Schulz","New Entry"
"436",2005,34,"Danny Tenaglia","Up 6"
"437",2006,32,"Sander Van Doorn","New Entry"
"438",2007,32,"Benny Benassi","Down 6"
"439",2008,32,"Judge Jules","Down 11"
"440",2009,32,"Hernan Cattaneo","Down 16"
"441",2010,32,"Andy Moor","Down 17"
"442",2011,32,"Chuckie","Up 5"
"443",2012,32,"Orjan Nilsen","Up 17"
"444",2013,32,"Paul van Dyk","Down 16"
"445",2014,32,"Diplo","Up 32"
"446",2015,32,"DJ Snake","Up 33"
"447",2016,32,"Quintino","Up 48"
"448",2017,32,"VINAI","Up 5"
"449",2004,33,"Yoji Biomehanika","Up 37"
"450",2005,35,"Nick Warren","Up 8"
"451",2006,33,"Richie Hawtin","Down 21"
"452",2007,33,"Axwell","Up 60"
"453",2008,33,"Umek","Down 4"
"454",2009,33,"Daft Punk","Up 5"
"455",2010,33,"John O'Callaghan","Down 9"
"456",2011,33,"Bob Sinclair","Up 5"
"457",2012,33,"Knife Party","New Entry"
"458",2013,33,"ATB","Down 12"
"459",2014,33,"Krewella","Up 11"
"460",2015,33,"Kygo","New Entry"
"461",2016,33,"DJ Chetas","Up 26"
"462",2017,33,"Headhunterz","Up 3"
"463",2004,34,"Sven Väth","Up 7"
"464",2005,36,"Dave Clarke","Up 1"
"465",2006,34,"Gareth Emery","New Entry"
"466",2007,34,"Mauro Picotto","Up 37"
"467",2008,34,"Matt Darey","Up 25"
"468",2009,34,"Eric Prydz","Down 13"
"469",2010,34,"Roger Shah","Down 13"
"470",2011,34,"Calvin Harris","Up 60"
"471",2012,34,"Sebastian Ingrosso","Down 8"
"472",2013,34,"Angerfist","Up 8"
"473",2014,34,"Oliver Heldens","New Entry"
"474",2015,34,"Yves V","Up 21"
"475",2016,34,"Bassjackers","Up 5"
"476",2017,34,"Eric Prydz","Up 32"
"477",2004,35,"Bad Boy Bill","Up 37"
"478",2005,37,"James Holden","Down 1"
"479",2006,35,"Phil Kieran","New Entry"
"480",2007,35,"Sander Kleinenberg","Down 8"
"481",2008,35,"Ricky Stone","Up 33"
"482",2009,35,"Bob Sinclair","Up 5"
"483",2010,35,"Kaskade","Up 16"
"484",2011,35,"Noisecontrollers","Up 55"
"485",2012,35,"Chuckie","Down 3"
"486",2013,35,"Dada Life","Down 11"
"487",2014,35,"Fedde Le Grand","Down 6"
"488",2015,35,"Fedde Le Grand","No change"
"489",2016,35,"Zedd","Down 13"
"490",2017,35,"Bassjackers","Down 1"
"491",2004,36,"James Holden","Up 40"
"492",2005,38,"Mario Piu","Re-entry"
"493",2006,36,"Nick Warren","Down 1"
"494",2007,36,"Eric Prydz","New Entry"
"495",2008,36,"Ricardo Villalobos","Up 13"
"496",2009,36,"Joachim Garraud","Down 9"
"497",2010,36,"Headhunterz","New Entry"
"498",2011,36,"W & W","Up 36"
"499",2012,36,"Zatox","Up 11"
"500",2013,36,"Kaskade","Down 6"
"501",2014,36,"Vicetone","Up 24"
"502",2015,36,"Ummet Ozcan","Down 5"
"503",2016,36,"Headhunterz","Up 12"
"504",2017,36,"Blasterjaxx","Up 7"
"505",2004,37,"Dave Clarke","Down 6"
"506",2005,39,"David Guetta","New Entry"
"507",2006,37,"DJ Skazi","New Entry"
"508",2007,37,"Blank & Jones","Up 23"
"509",2008,37,"Lange","Up 18"
"510",2009,37,"Kyau & Albert","Down 15"
"511",2010,37,"Chuckie","Up 35"
"512",2011,37,"Pete Tha Zouk","Up 44"
"513",2012,37,"Coone","Up 4"
"514",2013,37,"Frontliner","Up42"
"515",2014,37,"Angerfist","Down 3"
"516",2015,37,"Showtek","Down 20"
"517",2016,37,"VINAI","Up 6"
"518",2017,37,"Alesso","Down 17"
"519",2004,38,"Blank & Jones","Up 35"
"520",2005,40,"DJ Vibe","Up 40"
"521",2006,38,"Steve Lawler","Down 8"
"522",2007,38,"Bad Boy Bill","Up 5"
"523",2008,38,"Daft Punk","Up 33"
"524",2009,38,"James Zabiela","Down 21"
"525",2010,38,"Bob Sinclair","Down 3"
"526",2011,38,"Dada Life","Up 38"
"527",2012,38,"Dimitri Vegas & Like Mike","Up 41"
"528",2013,38,"Steve Angello","Up 19"
"529",2014,38,"Paul van Dyk","Down 6"
"530",2015,38,"Angerfist","Down 1"
"531",2016,38,"Florian Picasso","New Entry"
"532",2017,38,"Ummet Ozcan","Down 19"
"533",2004,39,"Above & Beyond","Re-entry"
"534",2005,41,"Kai Tracid","Up 28"
"535",2006,39,"D-Formation","New Entry"
"536",2007,39,"Pete Tong","Up 18"
"537",2008,39,"Benny Benassi","Down 7"
"538",2009,39,"Umek","Down 6"
"539",2010,39,"Avicii","New Entry"
"540",2011,39,"Angerfist","New Entry"
"541",2012,39,"Cosmic Gate","Up 4"
"542",2013,39,"Sander Van Doorn","Down 21"
"543",2014,39,"Sebastian Ingrosso","Down 21"
"544",2015,39,"Bassjackers","New Entry"
"545",2016,39,"Galantis","Up 59"
"546",2017,39,"Fedde Le Grand","Up 11"
"547",2004,40,"Danny Tenaglia","Down 22"
"548",2005,42,"Bad Boy Bill","Down 7"
"549",2006,40,"Ricky Stone","Up 8"
"550",2007,40,"DJ Vibe","Up 7"
"551",2008,40,"Bob Sinclair","Up 23"
"552",2009,40,"Christopher Lawrence","Re-entry"
"553",2010,40,"Kyau & Albert","Down 3"
"554",2011,40,"D-Block & S-te-Fan","Up 33"
"555",2012,40,"Porter Robinson","Up 56"
"556",2013,40,"Martin Garrix","New Entry"
"557",2014,40,"Headhunterz","Down 17"
"558",2015,40,"Andrew Rayel","Down 16"
"559",2016,40,"Jack U","Up 5"
"560",2017,40,"Angerfist","Up 6"
"561",2004,41,"Gabriel & Dresden","Up 1"
"562",2005,43,"Tall Paul","Down 24"
"563",2006,41,"Astrix","Up 34"
"564",2007,41,"Tiga","Up 9"
"565",2008,41,"Deep Dish","Down 30"
"566",2009,41,"Eddie Halliwell","Down 22"
"567",2010,41,"DJ Feel","Down 11"
"568",2011,41,"Coone","New Entry"
"569",2012,41,"Wildstylez","Up 39"
"570",2013,41,"Porter Robinson","Down 1"
"571",2014,41,"Borgore","New Entry"
"572",2015,41,"Paul van Dyk","Down 3"
"573",2016,41,"Aly & Fila","Up 1"
"574",2017,41,"Wolfpack","Up 22"
"575",2004,43,"Nick Warren","Down 15"
"576",2005,44,"Tiga","New Entry"
"577",2006,42,"Roger Sanchez","Down 15"
"578",2007,42,"Steve Lawler","Down 4"
"579",2008,42,"Mark Knight","Up 9"
"580",2009,42,"Simon Patterson","Up 22"
"581",2010,42,"Moonbeam","Up 34"
"582",2011,42,"Steve Aoki","New Entry"
"583",2012,42,"Angerfist","Down 3"
"584",2013,42,"Ferry Corsten","Down 20"
"585",2014,42,"Kura","New Entry"
"586",2015,42,"Aly & Fila","Down 14"
"587",2016,42,"Shogun","Up 5"
"588",2017,42,"Nervo","Up 3"
"589",2004,44,"Richie Hawtin","Down 11"
"590",2005,45,"DJ Yahel","Re-entry"
"591",2006,43,"Bad Boy Bill","Down 1"
"592",2007,43,"Danny Tenaglia","Up 15"
"593",2008,43,"Astrix","Down 25"
"594",2009,43,"Offer Nissim","Up 8"
"595",2010,43,"Joachim Garraud","Down 7"
"596",2011,43,"Cosmic Gate","Down 19"
"597",2012,43,"Infected Mushroom","Down 22"
"598",2013,43,"Chuckie","Down 8"
"599",2014,43,"Daft Punk","Down 21"
"600",2015,43,"VINAI","Up 19"
"601",2016,43,"Blasterjaxx","Down 27"
"602",2017,43,"Timmy Trumpet","Up 37"
"603",2004,45,"Laurent Garnier","Down 16"
"604",2005,46,"Andy Moor","New Entry"
"605",2006,44,"Sven Väth","Down 21"
"606",2007,44,"Ronski Speed","Up 43"
"607",2008,44,"Marco V","Down 24"
"608",2009,44,"Judge Jules","Down 12"
"609",2010,44,"Daft Punk","Down 11"
"610",2011,44,"Bobina","Down 19"
"611",2012,44,"Daft Punk","Down 16"
"612",2013,44,"Krewella","New Entry"
"613",2014,44,"Markus Schulz","Down 23"
"614",2015,44,"Alok","New Entry"
"615",2016,44,"Major Lazer","Up 10"
"616",2017,44,"Radical Redemption","Up 24"
"617",2004,46,"Pete Tong","Down 21"
"618",2005,47,"Ricardo Villalobos","New Entry"
"619",2006,45,"The Thrillseekers","Re-entry"
"620",2007,45,"Nic Fanciulli","Re-entry"
"621",2008,45,"The Thrillseekers","Up 7"
"622",2009,45,"Sean Tyas","Up 9"
"623",2010,45,"Lange","Down 14"
